Hour,Minute,Second,Temp,Longitude,Latitude,Altitude
18,11,38,33,0,374537028,-1221912228,99769
18,11,44,33,0,374536993,-1221912217,100496
18,11,50,33,0,374536994,-1221912213,101892
18,11,56,33,0,374536984,-1221912064,101994
18,12,2,33,0,374537159,-1221911967,104445
18,12,8,33,0,374537124,-1221912177,107374
18,12,14,33,0,374536963,-1221912297,110172
18,12,20,33,0,374536800,-1221912333,112157
18,12,26,33,0,374536690,-1221912216,114364
18,12,32,33,0,374536592,-1221912088,117317
18,12,38,33,0,374536607,-1221912367,119439
18,12,44,33,0,374536542,-1221912630,119429
18,12,50,33,0,374536504,-1221912350,120888
18,12,56,33,0,374536549,-1221912016,120862
18,13,2,33,0,374536699,-1221911872,121283
18,13,8,33,0,374536784,-1221911763,121987
18,13,14,33,0,374536518,-1221911921,123665
18,13,20,33,0,374536543,-1221911894,124948
18,13,26,33,0,374536376,-1221911913,126871
18,13,32,33,0,374536367,-1221911753,129455
18,13,38,33,0,374536577,-1221911523,131996
18,13,44,33,0,374536546,-1221911469,134637
18,13,50,33,0,374536619,-1221911458,137875
18,13,56,33,0,374536717,-1221911222,141513
18,14,2,33,0,374536579,-1221911330,142012
18,14,8,33,0,374536219,-1221911448,142346
18,14,14,33,0,374536222,-1221911625,142411
18,14,20,33,0,374536089,-1221911681,143750
18,14,26,33,0,374535779,-1221911774,145681
18,14,32,33,0,374535611,-1221911937,147214
18,14,38,33,0,374535669,-1221912171,148701
18,14,44,33,0,374535662,-1221912529,150015
18,14,50,33,0,374535547,-1221912734,151768
18,14,56,33,0,374535504,-1221912711,154252
18,15,2,33,0,374535602,-1221912400,156486
18,15,8,33,0,374535662,-1221912336,157647
18,15,14,33,0,374535888,-1221912259,159853
18,15,20,33,0,374535987,-1221912144,162113
18,15,26,33,0,374536112,-1221912343,163017
18,15,32,33,0,374536238,-1221912759,163445
18,15,38,33,0,374536248,-1221912602,164798
18,15,44,33,0,374536136,-1221912472,165136
18,15,50,33,0,374536407,-1221912418,167023
18,15,56,33,0,374536626,-1221912167,168879
18,16,2,33,0,374536479,-1221911816,169853
18,16,8,33,0,374536440,-1221912107,171419
18,16,14,33,0,374536583,-1221912365,172130
18,16,20,33,0,374536653,-1221912128,173288
18,16,26,33,0,374536523,-1221911867,174329
18,16,32,33,0,374536439,-1221911904,175491
18,16,38,33,0,374536374,-1221912223,176908
18,16,44,33,0,374536510,-1221912135,179183
18,16,50,33,0,374536394,-1221911975,181069
18,16,56,33,0,374536204,-1221912070,183361
18,17,2,33,0,374536306,-1221911986,184781
18,17,8,33,0,374536287,-1221911758,185780
18,17,14,33,0,374536031,-1221911985,186718
18,17,20,33,0,374535959,-1221912471,188193
18,17,26,33,0,374535847,-1221913000,189523
18,17,32,33,0,374535734,-1221913554,190910
18,17,38,33,0,374535691,-1221913531,193530
18,17,44,33,0,374535443,-1221913282,196600
18,17,50,33,0,374535276,-1221913450,198027
18,17,56,33,0,374535426,-1221913505,198679
18,18,2,33,0,374535389,-1221913482,199294
18,18,8,33,0,374535345,-1221913813,200576
18,18,14,33,0,374535240,-1221914307,200229
18,18,20,33,0,374535265,-1221914550,200851
18,18,26,33,0,374535351,-1221915101,199991
18,18,32,33,0,374534969,-1221915104,202337
18,18,38,33,0,374534623,-1221914825,204496
18,18,44,33,0,374534218,-1221914379,208140
18,18,50,33,0,374534142,-1221914103,210484
18,18,56,33,0,374534050,-1221913864,213747
18,19,2,33,0,374534109,-1221913576,216019
18,19,8,33,0,374534158,-1221912711,217363
18,19,14,33,0,374534100,-1221912489,218016
18,19,20,33,0,374534017,-1221912103,220433
18,19,26,33,0,374534082,-1221912006,222687
18,19,32,33,0,374534026,-1221911751,224716
18,19,38,33,0,374533925,-1221911194,225933
18,19,44,33,0,374534010,-1221910923,228266
18,19,50,33,0,374534215,-1221910615,229935
18,19,56,33,0,374534677,-1221910517,231869
18,20,2,33,0,374534854,-1221911302,233306
18,20,8,33,0,374534919,-1221912187,235717
18,20,14,33,0,374535168,-1221912696,237557
18,20,20,33,0,374535370,-1221912501,239089
18,20,26,33,0,374535655,-1221912666,240708
18,20,32,33,0,374535874,-1221912860,240662
18,20,38,33,0,374535952,-1221912736,242014
18,20,44,33,0,374536037,-1221912328,242329
18,20,50,33,0,374536009,-1221912019,242685
18,20,56,33,0,374536052,-1221912024,243893
18,21,2,33,0,374535995,-1221912359,245488
18,21,8,33,0,374536148,-1221912542,246626
18,21,14,33,0,374536115,-1221912377,248751
18,21,20,33,0,374536057,-1221912035,250382
18,21,26,33,0,374536027,-1221911893,252942
18,21,32,33,0,374535991,-1221912074,254731
18,21,38,33,0,374535920,-1221912345,256590
18,21,44,33,0,374535898,-1221912424,257729
18,21,50,33,0,374535872,-1221912194,259182
18,21,56,33,0,374535881,-1221912106,260289
18,22,2,33,0,374535852,-1221911773,261906
18,22,8,33,0,374535850,-1221911584,263379
18,22,14,33,0,374535887,-1221911788,264725
18,22,20,33,0,374535892,-1221911906,265869
18,22,26,33,0,374535965,-1221911782,266567
18,22,32,33,0,374535940,-1221912140,267877
18,22,38,33,0,374535759,-1221912275,269489
18,22,44,33,0,374535446,-1221911917,269912
18,22,50,33,0,374535442,-1221911876,270185
18,22,56,34,0,374535488,-1221912473,270390
18,23,2,34,0,374535656,-1221912720,269759
18,23,8,34,0,374535897,-1221912916,270167
18,23,14,34,0,374535839,-1221912755,270348
18,23,20,33,0,374535581,-1221912389,270245
18,23,26,33,0,374535476,-1221912172,269330
18,23,32,33,0,374535733,-1221912109,270173
18,23,38,33,0,374535797,-1221912714,269909
18,23,44,33,0,374535485,-1221913362,269152
18,23,50,33,0,374535040,-1221913573,269204
18,23,56,33,0,374534435,-1221913165,269230
18,24,2,34,0,374534179,-1221913259,268604
18,24,8,34,0,374533965,-1221913682,267851
18,24,14,34,0,374533725,-1221913841,266461
18,24,20,34,0,374533540,-1221913765,264244
18,24,26,34,0,374533486,-1221913884,263194
18,24,32,34,0,374533318,-1221913464,262018
18,24,38,34,0,374533124,-1221913262,260987
18,24,44,34,0,374533101,-1221913225,260227
18,24,50,34,0,374533148,-1221913483,258981
18,24,56,34,0,374533156,-1221913587,258619
18,25,2,34,0,374533313,-1221913747,257990
18,25,8,34,0,374533588,-1221914114,257230
18,25,14,34,0,374533707,-1221914031,256776
18,25,20,34,0,374533877,-1221914164,255679
18,25,26,34,0,374534119,-1221914255,255966
18,25,32,34,0,374534195,-1221913948,256508
18,25,38,34,0,374534438,-1221914060,256116
18,25,44,34,0,374534678,-1221913998,256855
18,25,50,34,0,374534937,-1221913760,257687
18,25,56,34,0,374534910,-1221913454,257105
18,26,2,34,0,374534856,-1221913339,256767
18,26,8,34,0,374534508,-1221913129,256028
18,26,14,34,0,374534287,-1221913499,254981
18,26,20,34,0,374533988,-1221913871,254749
18,26,26,34,0,374533759,-1221913852,253567
18,26,32,34,0,374533619,-1221914056,254097
18,26,38,34,0,374533431,-1221914080,253953
18,26,44,34,0,374533370,-1221913860,253109
18,26,50,33,0,374533661,-1221914454,252839
18,26,56,33,0,374533376,-1221914273,251606
18,27,2,33,0,374533219,-1221914179,250389
18,27,8,33,0,374533169,-1221914429,249791
18,27,14,33,0,374533054,-1221914944,248390
18,27,20,33,0,374533222,-1221915204,247829
18,27,26,33,0,374533035,-1221914789,246579
18,27,32,33,0,374532909,-1221914526,246244
18,27,38,33,0,374532754,-1221914105,245391
18,27,44,33,0,374532918,-1221913989,245101
18,27,50,33,0,374533040,-1221913489,244798
18,27,56,33,0,374533347,-1221913572,244190
18,28,2,33,0,374533496,-1221913429,243602
